Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-10-25,Dune,2021,https://boxd.it/2eyKpV,,,,2021-10-25
2021-12-22,3 Idiots,2009,https://boxd.it/2nIAwN,,,,2021-12-22
2022-01-10,Naked,1993,https://boxd.it/2sJn2x,,,,2022-01-10
2022-01-11,Abigail's Party,1977,https://boxd.it/2sJNmX,,,,2022-01-10
2022-03-14,Drive My Car,2021,https://boxd.it/2F3QM3,,,,2022-03-14
2022-03-14,Asako I & II,2018,https://boxd.it/2F3R4L,,,,2022-03-14
2022-03-15,The Batman,2022,https://boxd.it/2Fgrpp,,,,2022-03-15
2022-03-16,Beauty and the Beast,1991,https://boxd.it/2FmfLP,,,,2022-03-15
2022-04-03,Spider-Man: No Way Home,2021,https://boxd.it/2IMKh1,,,,2022-04-03
2022-04-03,Amélie,2001,https://boxd.it/2IMKjB,,,,2022-04-03
2022-06-04,Child of the Stars,2020,https://boxd.it/2TEBI1,,,,2022-06-03
2022-07-18,Top Gun: Maverick,2022,https://boxd.it/328PI7,,,,2022-07-18
2022-07-20,Bee Movie,2007,https://boxd.it/32nwH5,,,,2022-07-19
2022-08-05,Love Exposure,2008,https://boxd.it/35ZXex,,,,2022-08-04
2022-08-12,Kanal,1957,https://boxd.it/37FGf7,,,,2022-08-12
2022-08-18,A Bride for Rip Van Winkle,2016,https://boxd.it/38Smcx,,,,2022-08-18
2022-08-20,Licorice Pizza,2021,https://boxd.it/399ytp,,,,2022-08-20
2022-09-07,Happy Together,1997,https://boxd.it/3cJeUf,,,,2022-09-07
2022-09-20,The Death of Stalin,2017,https://boxd.it/3fa5eL,,,,2022-09-20
2022-10-05,A Beloved Wife,2019,https://boxd.it/3i2bJh,,,,2022-10-05
2022-10-09,Fourth of July,2022,https://boxd.it/3iMttD,,,,2022-10-08
2022-10-16,Zootopia,2016,https://boxd.it/3kvb3L,,,,2022-10-16
2022-10-23,Bambi,1942,https://boxd.it/3lJCsF,,,,2022-10-22
2022-10-23,The Little Mermaid,1989,https://boxd.it/3lJCvJ,,,,2022-10-22
2022-11-14,Hercules,1997,https://boxd.it/3qJw7V,,,,2022-11-14
2022-11-20,Pokémon Detective Pikachu,2019,https://boxd.it/3rW3pr,,,,2022-11-20
2022-12-11,Guillermo del Toro's Pinocchio,2022,https://boxd.it/3wjfLh,,,,2022-12-11
2022-12-20,Men in Black,1997,https://boxd.it/3ygCmV,,,,2022-12-19
2023-01-29,Lady Vengeance,2005,https://boxd.it/3Mr2wt,,,,2023-01-29
2023-02-21,Bento Harassment,2019,https://boxd.it/3T5taN,,,,2023-02-21
2023-03-28,The Card Counter,2021,https://boxd.it/42x6Td,4,,,2023-03-28
2023-03-28,Decision to Leave,2022,https://boxd.it/42x8hb,,,,2023-03-28
2023-03-31,Blue Collar,1978,https://boxd.it/43diPV,,,,2023-03-30
2023-04-19,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/48GVA9,,,,2023-04-19
2023-04-19,The Lego Movie,2014,https://boxd.it/48GVNR,,,,2023-04-19
2023-04-24,Secretary,2002,https://boxd.it/49R5hZ,,,,2023-04-23
2023-04-26,The Whale,2022,https://boxd.it/4aptnP,,,,2023-04-25
2023-05-03,What Happened to Our Nest Egg!?,2021,https://boxd.it/4cfVht,,,,2023-05-02
2023-05-03,The Super Mario Bros. Movie,2023,https://boxd.it/4cfVLX,,,,2023-05-02
2023-05-03,Blue Velvet,1986,https://boxd.it/4cfVW7,,,,2023-05-02
2023-05-03,Ready Player One,2018,https://boxd.it/4cfXdj,,,,2023-05-02
2023-05-05,Carnage,2011,https://boxd.it/4cP4H1,,,,2023-05-04
2023-05-06,Tokyo Trash Baby,2000,https://boxd.it/4d5rkB,,,,2023-05-06
2023-05-06,Kabukicho Love Hotel,2014,https://boxd.it/4d5ssh,,,,2023-05-06
2023-05-27,"Hi, Mom",2021,https://boxd.it/4idWKL,,,,2023-05-26
2023-07-22,Aftersun,2022,https://boxd.it/4ykxIj,,,,2023-07-21
2023-08-06,Showgirls,1995,https://boxd.it/4EcXAD,,,criterion,2023-08-05
2023-08-07,The Killing,1956,https://boxd.it/4EB3Rt,,,,2023-08-06
2024-01-02,Totto-chan: The Little Girl at the Window,2023,https://boxd.it/5sz5On,,,,2024-01-01
2024-01-26,Triangle of Sadness,2022,https://boxd.it/5GjioL,,,,2024-01-26
2024-01-26,Kiki's Delivery Service,1989,https://boxd.it/5GjiIL,,,,2024-01-26
2024-03-24,Perfect Days,2023,https://boxd.it/67czNx,,,,2024-03-24
2024-03-24,Road House,2024,https://boxd.it/67czZD,0.5,,,2024-03-24
2024-03-24,Dune: Part Two,2024,https://boxd.it/67cAO7,1,,,2024-03-24
2024-03-24,The Zone of Interest,2023,https://boxd.it/67cBnr,,,,2024-03-24
2024-03-28,"Small, Slow But Steady",2022,https://boxd.it/6997Oz,,,,2024-03-27
2024-03-28,The Goonies,1985,https://boxd.it/6999sv,,,,2024-03-27
2024-06-03,Furiosa: A Mad Max Saga,2024,https://boxd.it/6ByrWZ,,,,2024-06-03
2024-07-30,My Small Land,2022,https://boxd.it/6ZCm8z,,,,2024-07-30
2024-09-15,Prometheus,2012,https://boxd.it/7kNs4f,,,,2024-09-15
2024-09-18,All of Us Strangers,2023,https://boxd.it/7m8Nrl,,,,2024-09-18
2024-11-22,Look Back,2024,https://boxd.it/7RV1OD,,,,2024-11-22
2024-11-26,BL Metamorphosis,2022,https://boxd.it/7U4lcb,,,,2024-11-26
2024-11-26,Amiko,2022,https://boxd.it/7U6SLd,,,,2024-11-26
2024-11-26,Ichiko,2023,https://boxd.it/7U9HQn,,,,2024-11-26
2024-11-27,Tamako in Moratorium,2013,https://boxd.it/7UACfb,,,,2024-11-27
2025-01-10,Inglourious Basterds,2009,https://boxd.it/8p0PwV,,,,2025-01-10
2025-01-17,Aloners,2021,https://boxd.it/8uSRA9,,,,2025-01-16
2025-01-17,Past Lives,2023,https://boxd.it/8vuhrV,,,,2025-01-17
2025-01-18,Night and Day,2008,https://boxd.it/8vxOx9,,,,2025-01-17
2025-01-21,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/8y74Z7,,,,2025-01-20
2025-01-21,Don't Die: The Man Who Wants to Live Forever,2025,https://boxd.it/8y7571,,,,2025-01-20
2025-02-25,Love & Pop,1998,https://boxd.it/8WNBxZ,,,,2025-02-25
2025-04-10,We Made a Beautiful Bouquet,2021,https://boxd.it/9myJqB,,,,2025-04-09
2025-04-10,Monster,2023,https://boxd.it/9myQB7,,,,2025-04-09
2025-04-15,Winny,2023,https://boxd.it/9pRvkJ,,,,2025-04-15
2025-04-21,Ping Pong,2002,https://boxd.it/9tBdYl,,,,2025-04-21
2025-04-21,Tokyo Godfathers,2003,https://boxd.it/9tBewd,,,,2025-04-21
2025-04-21,Tekkonkinkreet,2006,https://boxd.it/9tBeRl,,,,2025-04-21
2025-05-06,Detective Conan: The Phantom of Baker Street,2002,https://boxd.it/9CCX7l,,,,2025-05-06
2025-05-12,Blue,2021,https://boxd.it/9FqeTx,,,,2025-05-11
2025-05-14,Enter the Dragon,1973,https://boxd.it/9GBfgH,,,,2025-05-14
2025-05-16,Warrior,2011,https://boxd.it/9HXtFz,,,,2025-05-16
2025-05-18,Three Colours: White,1994,https://boxd.it/9IIGV5,,Yes,,2025-05-18
2025-06-02,Glengarry Glen Ross,1992,https://boxd.it/9SJIiL,,,,2025-06-02
2025-08-26,The Flowers of Evil,2019,https://boxd.it/aRY53V,,,,2025-08-26
2025-08-27,Cutie Honey,2004,https://boxd.it/aSz2pD,,,,2025-08-27
2025-08-27,A Beautiful Star,2017,https://boxd.it/aSz2Qf,,,,2025-08-27
2025-08-28,F1,2025,https://boxd.it/aTbYuR,,,,2025-08-28
2025-10-04,One Battle After Another,2025,https://boxd.it/bfAqVn,2,,,2025-10-03
2025-10-31,Mio on the Shore,2019,https://boxd.it/bxEaZt,,,,2025-10-30
2026-01-02,Kokuho,2025,https://boxd.it/cmLJyb,,,,2025-11-01
2025-11-06,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/bC0pox,,,,2025-11-06
2025-12-02,Hirugao,2017,https://boxd.it/bTXSAX,,,,2025-12-01
2025-12-02,KPop Demon Hunters,2025,https://boxd.it/bTXSZ9,,,,2025-12-01
2025-12-27,Avatar: Fire and Ash,2025,https://boxd.it/cfkulJ,0.5,,,2025-12-26
2026-01-12,Weapons,2025,https://boxd.it/cAcPtR,,,,2026-01-11
2026-01-25,Anora,2024,https://boxd.it/cNBzLn,,,,2026-01-24
2026-01-29,The Brutalist,2024,https://boxd.it/cSVWhl,,,,2026-01-29
2026-01-30,La La Land,2016,https://boxd.it/cTdoUT,4,,,2026-01-29
2026-02-10,"Paris, Texas",1984,https://boxd.it/d3OMCj,,,,2026-02-09
2026-02-12,Tokyo-Ga,1985,https://boxd.it/d5UUO3,,,,2026-02-12
2026-02-13,An Autumn Afternoon,1962,https://boxd.it/d62KFr,,,,2026-02-12
2026-02-20,The Worst Person in the World,2021,https://boxd.it/ddDD0D,,,,2026-02-20
2026-03-10,Onibaba,1964,https://boxd.it/dsXajr,,,,2026-03-10
2026-03-11,The Last Samurai,2003,https://boxd.it/dtI8St,,,,2026-03-11
